edon,edo,edo,21,23,25,27,29,31,33
1,Aguascalientes ,ags,0,,,,,,
2,Baja California ,bc,,,,,,,
3,Baja California Sur ,bcs,,,,,,,
4,Campeche ,cam,,,*,,,,
5,Coahuila,coa,,,,,,,
6,Colima ,col,0,0,0,0,0,0,
7,Chiapas ,cps,0,,,,,,
8,Chihuahua ,cua,0,,,,,,
9,Distrito Federal ,df,,,,,,,
10,Durango ,dgo,0,0,,,,,
11,Guanajuato ,gua,0,,,,1,1,1
12,Guerrero ,gue,0,,,,,,
13,Hidalgo ,hgo,,,,,,,
14,Jalisco ,jal,,,,,1,1,1
15,Mexico ,mex,,,,,,,
16,Michoacan,mic,,,1,1,1,1,1
17,Morelos ,mor,,,,,,0,
18,Nayarit ,nay,,,,,,,
19,Nuevo Leon ,nl,,,,,,1,
20,Oaxaca ,oax,,,,1,,,
21,Puebla ,pue,,,,,1,,
22,Queretaro,que,,,,,,,
23,Quintana Roo ,qui,,,,,,*,
24,San Luis Potosi ,san,,,,1,0,1,1
25,Sinaloa ,sin,,,,,,0,
26,Sonora ,son,,,,0,,,
27,Tabasco ,tab,,,,,,,
28,Tamaulipas ,tam,,,,,,,
29,Tlaxcala ,tla,,,,,,,
30,Veracruz,ver,,,,,,,
31,Yucatan ,yuc,,,,,,,
32,Zacatecas ,zac,,,,,,,
