ord,inegi,ife,edon,edo,mun,disn1928,disn1930,disn1932,cab1934,disn1934,note.pepe,note-mun
1,1001,1001,1,ags,AGUASCALIENTES,,,,,,,
2,1002,1002,1,ags,ASIENTOS,,,,,,,
3,1003,1003,1,ags,CALVILLO,,,,,,,
4,1004,1004,1,ags,COSIO,,,,,,,
5,1005,1005,1,ags,JESUS MARIA,,,,,,,
6,1006,1006,1,ags,PABELLON DE ARTEAGA,,,,,,,
7,1007,1007,1,ags,RINCON DE ROMOS,,,,,,,
8,1008,1008,1,ags,SAN JOSE DE GRACIA,,,,,,,
9,1009,1009,1,ags,TEPEZALA,,,,,,,
10,1010,1011,1,ags,LLANO--EL,,,,,,,
11,1011,1010,1,ags,SAN FRANCISCO DE LOS ROMO,,,,,,,
12,2001,2001,2,bc,ENSENADA,,,,,,,
13,2002,2002,2,bc,MEXICALI,,,,,,,
14,2003,2003,2,bc,TECATE,,,,,,,
15,2004,2004,2,bc,TIJUANA,,,,,,,
16,2005,2005,2,bc,PLAYAS DE ROSARITO,,,,,,,
17,2006,2006,2,bc,SAN QUINTIN,,,,,,,
18,3001,3001,3,bcs,COMONDU,,,,,,,
19,3002,3002,3,bcs,MULEGE,,,,,,,
20,3003,3003,3,bcs,PAZ--LA,,,,,,,
21,3008,3004,3,bcs,CABOS--LOS,,,,,,,
22,3009,3005,3,bcs,LORETO,,,,,,,
23,4001,4002,4,cam,CALKINI,,,,,,,
24,4002,4001,4,cam,CAMPECHE,,,,,,,
25,4003,4003,4,cam,CARMEN,,,,,,,
26,4004,4004,4,cam,CHAMPOTON,,,,,,,
27,4005,4005,4,cam,HECELCHAKAN,,,,,,,
28,4006,4006,4,cam,HOPELCHEN,,,,,,,
29,4007,4007,4,cam,PALIZADA,,,,,,,
30,4008,4008,4,cam,TENABO,,,,,,,
31,4009,4009,4,cam,ESCARCEGA,,,,,,,
32,4010,4011,4,cam,CALAKMUL,,,,,,,
33,4011,4010,4,cam,CANDELARIA,,,,,,,
34,4012,4013,4,cam,SEYBAPLAYA,,,,,,,
35,4013,4012,4,cam,DZITBALCHE,,,,,,,
36,5001,5001,5,coa,ABASOLO,,,,,,,
37,5002,5002,5,coa,ACUÑA,,,,,,,
38,5003,5003,5,coa,ALLENDE,,,,,,,
39,5004,5004,5,coa,ARTEAGA,,,,,,,
40,5005,5005,5,coa,CANDELA,,,,,,,
41,5006,5006,5,coa,CASTAÑOS,,,,,,,
42,5007,5007,5,coa,CUATROCIENEGAS,,,,,,,
43,5008,5008,5,coa,ESCOBEDO,,,,,,,
44,5009,5009,5,coa,FRANCISCO I. MADERO,,,,,,,
45,5010,5010,5,coa,FRONTERA,,,,,,,
46,5011,5011,5,coa,GENERAL CEPEDA,,,,,,,
47,5012,5012,5,coa,GUERRERO,,,,,,,
48,5013,5013,5,coa,HIDALGO,,,,,,,
49,5014,5014,5,coa,JIMENEZ,,,,,,,
50,5015,5015,5,coa,JUAREZ,,,,,,,
51,5016,5016,5,coa,LAMADRID,,,,,,,
52,5017,5017,5,coa,MATAMOROS,,,,,,,
53,5018,5018,5,coa,MONCLOVA,,,,,,,
54,5019,5019,5,coa,MORELOS,,,,,,,
55,5020,5020,5,coa,MUZQUIZ,,,,,,,
56,5021,5021,5,coa,NADADORES,,,,,,,
57,5022,5022,5,coa,NAVA,,,,,,,
58,5023,5023,5,coa,OCAMPO,,,,,,,
59,5024,5024,5,coa,PARRAS,,,,,,,
60,5025,5025,5,coa,PIEDRAS NEGRAS,,,,,,,
61,5026,5026,5,coa,PROGRESO,,,,,,,
62,5027,5027,5,coa,RAMOS ARIZPE,,,,,,,
63,5028,5028,5,coa,SABINAS,,,,,,,
